"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Shadow Alolan Muk","Snarl","Gunk Shot","14.871","398.8","33.84","2757"
"Inteleon","Pound","Surf","15.924","324.4","33.83","2964"
"Volcanion","Water Gun","Sludge Bomb","14.13","464.4","33.83","3628"
"Solgaleo","Zen Headbutt","Flamethrower","13.462","536.9","33.83","4042"
"Heatran","Bug Bite","Iron Head","13.862","491.3","33.82","3754"
"Calyrex - Ice Rider","Take Down","Avalanche","13.462","536.4","33.82","4235"
"Shadow Unfezant","Air Slash","Hyper Beam","16.174","308.7","33.81","2734"
"Thundurus (Therian Forme)","Bite","Thunder","15.149","375.6","33.81","3659"
"Shadow Alolan Exeggutor","Bullet Seed","Dragon Pulse","15.528","348.5","33.8","3014"
"Genesect - Burn Drive","Fury Cutter","Techno Blast (Burn)","14.684","412.1","33.8","3353"
"Genesect - Chill Drive","Fury Cutter","Techno Blast (Chill)","14.684","412.1","33.8","3353"
"Genesect - Douse Drive","Fury Cutter","Techno Blast (Douse)","14.684","412.1","33.8","3353"
"Genesect - Shock Drive","Fury Cutter","Techno Blast (Shock)","14.684","412.1","33.8","3353"
"Yveltal","Sucker Punch","Focus Blast","13.776","499","33.8","3781"
"Rhyperior","Smack Down","Skull Bash","13.627","515.7","33.8","3733"
"Mega Blastoise","Bite","Return","13.842","491.4","33.79","3941"
"Galarian Moltres","Wing Attack","Brave Bird","13.62","516.2","33.79","3167"
"Shadow Torterra","Bite","Solar Beam","14.796","401.3","33.77","2934"
"Kommo-o","Dragon Tail","Dragon Claw","13.914","482.6","33.77","3309"
"Calyrex - Ice Rider","Confusion","Energy Ball","13.439","535.5","33.77","4235"
"Blaziken","Counter","Brave Bird","15.555","345.2","33.76","2848"
"Alolan Golem","Rollout","Wild Charge","14.384","435.9","33.75","2949"
"Spectrier","Take Down","Shadow Ball","15.152","372.4","33.74","3385"
"Mega Lopunny","Pound","Fire Punch","14.624","413.7","33.73","3745"
"Alolan Golem","Rock Throw","Wild Charge","14.377","435.7","33.73","2949"
"Shadow Ursaring","Metal Claw","Play Rough","15.866","323.9","33.72","2945"
"Gengar","Sucker Punch","Sludge Bomb","16.071","310.9","33.71","2878"
"Dragonite","Steel Wing","Hyper Beam","14.051","465.2","33.71","3792"
"Mew","Snarl","Psychic","13.626","510.6","33.71","3265"
"Zamazenta - Hero of Many Battles","Snarl","Close Combat","13.755","495.9","33.7","3829"
"Shadow Zebstrika","Low Kick","Wild Charge","16.563","283.5","33.69","2428"
"Shadow Shiftry","Snarl","Foul Play","16.482","287.8","33.69","2333"
"Porygon-Z","Charge Beam","Return","15.16","369.8","33.69","3266"
"Victini","Confusion","Overheat","13.615","510.2","33.69","3265"
"Flareon","Fire Spin","Flamethrower","15.223","364.8","33.68","3029"
"Dhelmise","Astonish","Shadow Ball","15.037","378.6","33.68","2950"
"Shadow Gallade","Low Kick","Close Combat","15.486","346","33.67","3093"
"Hawlucha","Poison Jab","Flying Press","15.303","358.6","33.67","2410"
"Machamp","Bullet Punch","Dynamic Punch","14.798","396.7","33.67","3056"
"Deoxys (Normal Forme)","Zen Headbutt","Hyper Beam","17.494","239.9","33.66","3160"
"Drampa","Dragon Breath","Outrage","15.057","375.9","33.66","2914"
"Mega Pinsir","Rock Smash","Superpower","14.338","435.7","33.66","4182"
"Heatran","Fire Spin","Stone Edge","13.795","488.9","33.66","3754"
"Armored Mewtwo","Confusion","Psystrike","12.885","600","33.66","3187"
"Gallade","Confusion","Synchronoise","14.789","396.6","33.65","3093"
"Gardevoir","Confusion","Synchronoise","14.789","396.6","33.65","3093"
"Mega Beedrill","Infestation","Fell Stinger","15.876","319.7","33.63","3383"
"Shadow Porygon-Z","Hidden Power (Fire)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Fighting)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Water)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Flying)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Grass)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Poison)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Electric)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Ground)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Psychic)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Rock)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Ice)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Bug)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Dragon)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Ghost)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Dark)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Porygon-Z","Hidden Power (Steel)","Solar Beam","15.833","321.8","33.62","3266"
"Shadow Arcanine","Snarl","Fire Blast","15.315","355.9","33.62","3029"
"Haxorus","Counter","Earthquake","14.931","383.6","33.62","3593"
"Stonjourner","Rock Throw","Rock Slide","14.048","460.9","33.62","3218"
"Shadow Lugia","Extrasensory","Hydro Pump","12.837","603.2","33.61","3703"
"Shadow Absol","Snarl","Payback","17.401","241.8","33.6","2526"
"Alakazam","Psycho Cut","Shadow Ball","15.823","321.8","33.6","3057"
"Mega Pidgeot","Gust","Air Cutter","14.649","405.6","33.6","3680"
"Darmanitan","Fire Fang","Rock Slide","15.475","343.6","33.59","3105"
"Arceus","Shadow Claw","Outrage","13.035","574.5","33.59","3982"
"Excadrill","Mud Shot","Earthquake","14.915","383","33.58","3244"
"Arcanine","Fire Fang","Flamethrower","14.614","407.5","33.58","3029"
"Shadow Electivire","Thunder Shock","Flamethrower","15.841","319.6","33.57","3079"
"Mega Charizard X","Wing Attack","Return","14.134","449.5","33.57","3850"
"Mega Absol","Snarl","Thunder","16.312","292.2","33.56","3301"
"Hatterene","Confusion","Psychic","15.421","345.8","33.56","2829"
"Feraligatr","Bite","Hydro Cannon","14.34","430.3","33.56","2857"
"Shadow Weavile","Feint Attack","Focus Blast","15.843","318.7","33.55","3005"
"Togekiss","Air Slash","Dazzling Gleam","13.864","475.5","33.55","3332"
"Zygarde (50% Forme)","Dragon Tail","Earthquake","13.059","568.6","33.55","3410"
"Ho-Oh","Steel Wing","Fire Blast","13.24","545","33.54","3863"
"Weavile","Feint Attack","Foul Play","15.127","365.1","33.53","3005"
"Shadow Venusaur","Razor Leaf","Solar Beam","15.121","365.7","33.53","2720"
"Porygon-Z","Lock-On","Tri-Attack","15.083","367.9","33.52","3266"
"Mega Steelix","Iron Tail","Heavy Slam","12.832","596.9","33.51","3670"
"Roserade","Bullet Seed","Grass Knot","15.2","358.6","33.5","2971"
"Groudon","Dragon Tail","Fire Blast","13.574","503.6","33.5","4115"
"Zapdos","Thunder Shock","Return","14.214","438","33.49","3527"
"Mega Aerodactyl","Bite","Iron Head","14.081","450.7","33.49","4118"
"Shadow Vileplume","Acid","Solar Beam","15.711","324.1","33.48","2559"
"Mega Camerupt","Incinerate","Earthquake","14.87","382.1","33.48","3220"
"Charizard","Dragon Breath","Blast Burn","14.795","388","33.48","2889"
"Moltres","Wing Attack","Return","14.283","431.3","33.48","3465"
"Moltres","Wing Attack","Fire Blast","14.28","431.2","33.48","3465"
"Shadow Hippowdon","Thunder Fang","Earthquake","14.276","432","33.48","3085"
"Tangrowth","Vine Whip","Solar Beam","13.955","462.5","33.48","3030"
"Urshifu (Rapid Strike Style)","Waterfall","Brick Break","14.076","450.1","33.47","3606"
"Latias","Charm","Outrage","13.557","503.4","33.47","3510"
"Honchkrow","Peck","Brave Bird","15.892","312.3","33.46","2711"
"Magmortar","Fire Spin","Return","14.901","379","33.46","3132"
"Blaziken","Counter","Focus Blast","15.412","342","33.45","2848"
"Tsareena","Razor Leaf","Grass Knot","14.557","405.2","33.44","2964"
"Raikou","Volt Switch","Shadow Ball","14.021","453.6","33.44","3452"
"Mega Glalie","Frost Breath","Shadow Ball","14.8","385.3","33.43","3229"
"Shadow Alolan Muk","Poison Jab","Gunk Shot","14.689","394","33.43","2757"
"Shadow Muk","Poison Jab","Gunk Shot","14.689","394","33.43","2757"
"Tyranitar","Bite","Fire Blast","13.557","501.3","33.43","3834"
"Solgaleo","Fire Spin","Flamethrower","13.304","530.6","33.43","4042"
"Shadow Kingdra","Water Gun","Outrage","15.15","358.9","33.42","2641"
"Grimmsnarl","Bite","Play Rough","14.994","370.2","33.42","2850"
"Shadow Charizard","Dragon Breath","Flamethrower","15.452","337.7","33.41","2889"
"Mega Abomasnow","Leafage","Outrage","14.076","446.7","33.41","3405"
"Mega Blastoise","Water Gun","Ice Beam","13.686","485.9","33.41","3941"
"Calyrex - Ice Rider","Take Down","Psychic","13.299","529.9","33.41","4235"
"Shadow Kingdra","Waterfall","Outrage","15.14","358.7","33.4","2641"
"Genesect","Fury Cutter","X-Scissor","14.511","407.3","33.4","3353"
"Genesect - Burn Drive","Fury Cutter","X-Scissor","14.511","407.3","33.4","3353"
"Genesect - Chill Drive","Fury Cutter","X-Scissor","14.511","407.3","33.4","3353"
"Genesect - Douse Drive","Fury Cutter","X-Scissor","14.511","407.3","33.4","3353"
"Genesect - Shock Drive","Fury Cutter","X-Scissor","14.511","407.3","33.4","3353"
"Tapu Lele","Confusion","Focus Blast","14.401","416.8","33.4","3494"
"Shadow Golem","Mud Slap","Stone Edge","14.897","376.2","33.39","2949"
"Shadow Donphan","Mud Slap","Heavy Slam","14.834","380.9","33.39","3013"
"Shaymin (Land Forme)","Hidden Power (Grass)","Grass Knot","13.495","505.7","33.39","3265"
"Ho-Oh","Steel Wing","Solar Beam","13.181","542.5","33.39","3863"
"Shadow Aerodactyl","Bite","Rock Slide","15.663","323.1","33.38","2783"
"Mega Altaria","Dragon Breath","Dazzling Gleam","14.069","445.9","33.38","3163"
"Reshiram","Dragon Breath","Crunch","13.772","475.2","33.38","4038"
"Zekrom","Dragon Breath","Crunch","13.772","475.2","33.38","4038"
"Mega Steelix","Iron Tail","Earthquake","12.782","594.6","33.38","3670"
"Shadow Houndoom","Fire Fang","Crunch","16.194","291.8","33.37","2635"
"Chandelure","Hex","Poltergeist","15.196","353.2","33.37","3268"
"Mega Manectric","Charge Beam","Return","14.893","374.9","33.36","3580"
"Shadow Ursaluna","Rock Smash","Fire Punch","13.91","460.4","33.36","3854"
"Aurorus","Rock Throw","Meteor Beam","13.757","475.8","33.36","2802"
"Shadow Unfezant","Steel Wing","Hyper Beam","15.953","304.5","33.35","2734"
"Grimmsnarl","Sucker Punch","Play Rough","14.964","369.4","33.35","2850"
"Krookodile","Snarl","Earthquake","14.535","403.1","33.35","3046"
"Shadow Ursaluna","Rock Smash","Ice Punch","13.903","460.2","33.35","3854"
"Latias","Charm","Psychic","13.509","501.6","33.35","3510"
"Shadow Alakazam","Counter","Fire Punch","16.433","278.5","33.34","3057"
"Vikavolt","Bug Bite","X-Scissor","15.078","360.2","33.34","3117"
"Passimian","Counter","Superpower","14.347","418.2","33.34","3033"
"Shadow Hippowdon","Ice Fang","Weather Ball Rock","14.217","430.2","33.34","3085"
"Rhyperior","Mud Slap","Superpower","13.436","508.5","33.33","3733"
"Archeops","Wing Attack","Dragon Claw","15.577","326.3","33.32","3331"
"Shadow Feraligatr","Waterfall","Hydro Pump","14.901","372.6","33.32","2857"
"Landorus (Incarnate Forme)","Rock Throw","Outrage","14.226","427.9","33.32","3588"
"Mega Pinsir","Fury Cutter","Submission","14.193","431.3","33.32","4182"
"Tyranitar","Smack Down","Fire Blast","13.514","499.7","33.32","3834"
"Ursaluna","Rock Smash","High Horsepower","13.272","527.1","33.32","3854"
"Shadow Poliwrath","Bubble","Dynamic Punch","14.816","378.5","33.31","2586"
"Darmanitan (Zen Mode)","Incinerate","Focus Blast","13.474","503.2","33.31","3738"
"Shadow Crobat","Air Slash","Sludge Bomb","15.081","358.5","33.3","2646"
"Thundurus (Therian Forme)","Volt Switch","Focus Blast","14.925","370","33.3","3659"
"Shadow Gyarados","Waterfall","Crunch","14.627","392.8","33.3","3391"
"Luxray","Hidden Power (Electric)","Wild Charge","14.989","364.6","33.29","2888"
"Tornadus (Incarnate Forme)","Bite","Grass Knot","14.855","374.6","33.29","3345"
"Shadow Nidoking","Fury Cutter","Earth Power","15.667","319.2","33.28","2567"
"Alakazam","Counter","Shadow Ball","15.667","318.6","33.27","3057"
"Mega Abomasnow","Razor Leaf","Return","14.015","444.8","33.27","3405"
"Meloetta (Pirouette Forme)","Quick Attack","Ice Punch","13.795","466.4","33.27","3915"
"Shadow Victreebel","Acid","Solar Beam","16.199","288.1","33.26","2431"
"Thundurus (Therian Forme)","Bite","Focus Blast","14.899","369.4","33.25","3659"
"Gardevoir","Charm","Synchronoise","14.61","391.8","33.25","3093"
"Volcanion","Incinerate","Earth Power","13.887","456.4","33.25","3628"
"Ho-Oh","Incinerate","Earthquake","13.129","540.4","33.25","3863"
"Shadow Swampert","Mud Shot","Earthquake","14.667","386.8","33.24","2974"
"Archeops","Wing Attack","Ancient Power","15.534","325.4","33.23","3331"
"Toxtricity","Poison Jab","Wild Charge","15.506","326.9","33.23","2601"
"Hatterene","Psycho Cut","Psychic","15.255","342","33.2","2829"
"Shadow Shiftry","Bullet Seed","Leaf Blade","16.235","283.5","33.19","2333"
"Alakazam","Psycho Cut","Future Sight","15.632","317.9","33.19","3057"
"Duraludon","Metal Claw","Dragon Claw","14.703","381.6","33.19","3067"
"Victini","Quick Attack","Psychic","13.415","502.7","33.19","3265"
"Ho-Oh","Steel Wing","Return","13.104","539.4","33.19","3863"
"Shadow Skuntank","Poison Jab","Sludge Bomb","15.533","323.5","33.18","2358"
"Regigigas","Hidden Power (Fire)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Fighting)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Water)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Flying)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Grass)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Poison)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Electric)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Ground)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Psychic)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Rock)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Ice)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Bug)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Dragon)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Ghost)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Dark)","Focus Blast","13.467","496.3","33.18","4346"
"Regigigas","Hidden Power (Steel)","Focus Blast","13.467","496.3","33.18","4346"
"Shadow Typhlosion","Incinerate","Fire Blast","15.34","335.2","33.17","2889"
"Shadow Gigalith","Mud Slap","Solar Beam","14.604","388.6","33.17","3228"
"Buzzwole","Poison Jab","Superpower","13.739","466.9","33.17","3469"
"Mega Kangaskhan","Mud Slap","Outrage","13.299","515","33.17","3850"
"Shadow Snorlax","Lick","Body Slam","13.472","494.6","33.16","3225"
"Shadow Abomasnow","Leafage","Weather Ball Ice","15.269","339.1","33.15","2362"
"Shadow Alolan Golem","Rock Throw","Rock Blast","14.788","373.4","33.15","2949"
"Shadow Golem","Rock Throw","Rock Blast","14.788","373.4","33.15","2949"
"Delphox","Zen Headbutt","Psychic","14.444","400.8","33.15","3059"
"Landorus (Incarnate Forme)","Mud Shot","Outrage","14.155","425.7","33.15","3588"
"Shadow Flygon","Mud Shot","Earth Power","15.356","333.2","33.14","2661"
"Gyarados","Waterfall","Return","13.909","448.2","33.14","3391"
"Zoroark","Snarl","Foul Play","16.377","274.4","33.13","2571"
"Shadow Pinsir","Bug Bite","Superpower","15.606","316.5","33.12","2959"
"Shadow Aerodactyl","Rock Throw","Hyper Beam","15.539","320.5","33.12","2783"
"Shadow Omastar","Water Gun","Rock Slide","15.066","351.9","33.12","2786"
"Espeon","Zen Headbutt","Shadow Ball","15.047","353.2","33.12","3170"
"Tyranitar","Iron Tail","Crunch","13.431","496.6","33.12","3834"
"Yanmega","Bug Bite","Bug Buzz","14.733","375.9","33.11","2946"
"Zygarde (Complete Forme)","Bite","Outrage","11.736","743.6","33.11","3774"
"Archeops","Steel Wing","Ancient Power","15.471","324.1","33.1","3331"
"Exeggutor","Bullet Seed","Psychic","14.619","384.3","33.1","3014"
"Gyarados","Waterfall","Aqua Tail","13.893","447.7","33.1","3391"
"Rhyperior","Smack Down","Superpower","13.34","504.8","33.09","3733"
"Goodra","Dragon Breath","Power Whip","13.182","521.9","33.07","3505"
"Shadow Blaziken","Fire Spin","Stone Edge","15.942","294.8","33.06","2848"
"Archeops","Steel Wing","Dragon Claw","15.454","323.7","33.06","3331"
"Ursaring","Counter","Return","14.86","364","33.06","2945"
"Shadow Blastoise","Bite","Hydro Cannon","14.633","381.4","33.06","2466"
"Torterra","Bite","Frenzy Plant","13.84","450.4","33.06","2934"
"Mew","Pound","Psychic","13.363","500.8","33.06","3265"
"Unfezant","Air Slash","Sky Attack","15.108","346","33.05","2734"
"Staraptor","Wing Attack","Return","15.106","346.1","33.05","2825"
"Pyroar","Fire Fang","Overheat","14.862","363.7","33.05","2767"
"Shadow Gyarados","Dragon Tail","Dragon Pulse","14.52","389.9","33.05","3391"
"Groudon","Dragon Tail","Fire Punch","13.391","496.8","33.05","4115"
"Darmanitan (Zen Mode)","Incinerate","Rock Slide","13.371","499.3","33.05","3738"
"Shadow Sawk","Poison Jab","Focus Blast","15.818","301.2","33.04","2788"
"Mega Abomasnow","Leafage","Energy Ball","13.918","441.7","33.04","3405"
"Inteleon","Water Gun","Shadow Ball","15.545","316.7","33.03","2964"
"Hatterene","Charm","Psychic","15.179","340.3","33.03","2829"
"Shadow Feraligatr","Water Gun","Hydro Pump","14.768","369.3","33.03","2857"
"Keldeo","Poison Jab","Close Combat","13.866","446.2","33.03","3698"
"Tornadus (Incarnate Forme)","Air Slash","Hurricane","14.734","371.6","33.02","3345"
"Zapdos","Charge Beam","Zap Cannon","14.013","431.8","33.02","3527"
"Meloetta (Pirouette Forme)","Quick Attack","Fire Punch","13.693","463","33.02","3915"
"Shadow Charizard","Fire Spin","Dragon Claw","15.269","333.7","33.01","2889"
"Vikavolt","Mud Slap","Discharge","14.933","356.8","33.01","3117"
"Kleavor","Quick Attack","Rock Slide","14.833","363.8","33.01","3146"
"Volcarona","Bug Bite","Hurricane","14.085","424.7","33.01","3632"
"Shadow Articuno","Frost Breath","Ice Beam","13.856","446.5","33.01","3051"
"Regidrago","Bite","Outrage","13.729","458.6","33.01","2973"
"Shadow Typhlosion","Incinerate","Solar Beam","15.262","333.5","33","2889"
"Espeon","Confusion","Last Resort","14.991","351.8","33","3170"
"Roserade","Razor Leaf","Solar Beam","14.971","353.2","33","2971"
"Dhelmise","Astonish","Power Whip","14.731","370.9","33","2950"
"Magmortar","Fire Spin","Fire Punch","14.696","373.8","33","3132"
"Shadow Alolan Muk","Bite","Gunk Shot","14.5","388.9","33","2757"
"Dragonite","Steel Wing","Superpower","13.753","455.4","32.99","3792"
"Shadow Houndoom","Snarl","Fire Blast","16","288.4","32.97","2635"
"Shadow Aerodactyl","Rock Throw","Earth Power","15.472","319.2","32.97","2783"
"Metagross","Bullet Punch","Earthquake","13.597","470","32.97","3791"
"Zamazenta - Hero of Many Battles","Quick Attack","Close Combat","13.451","485","32.96","3829"
"Mega Absol","Psycho Cut","Payback","16.015","286.9","32.95","3301"
"Shaymin (Sky Forme)","Hidden Power (Flying)","Energy Ball","14.061","423.9","32.95","3592"
"Shaymin (Sky Forme)","Hidden Power (Grass)","Energy Ball","14.061","423.9","32.95","3592"
"Togekiss","Hidden Power (Flying)","Dazzling Gleam","13.614","466.9","32.95","3332"
"Toxtricity","Acid","Wild Charge","15.374","324.1","32.94","2601"
"Roserade","Razor Leaf","Leaf Storm","14.946","352.7","32.94","2971"
"Porygon-Z","Hidden Power (Fire)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Fighting)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Water)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Flying)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Grass)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Poison)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Electric)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Ground)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Psychic)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Rock)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Ice)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Bug)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Dragon)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Ghost)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Dark)","Return","14.823","361.5","32.94","3266"
"Porygon-Z","Hidden Power (Steel)","Return","14.823","361.5","32.94","3266"
"Conkeldurr","Poison Jab","Focus Blast","14.102","419.9","32.94","3337"
"Latias","Dragon Breath","Return","13.344","495.5","32.94","3510"
"Shadow Charizard","Wing Attack","Fire Blast","15.232","332.9","32.93","2889"
"Shadow Arcanine","Thunder Fang","Fire Blast","15","348.6","32.93","3029"
"Magmortar","Fire Spin","Psychic","14.663","373","32.93","3132"
"Arcanine","Fire Fang","Wild Charge","14.326","399.5","32.92","3029"
"Shadow Porygon-Z","Lock-On","Blizzard","15.493","314.9","32.9","3266"
"Shadow Nidoking","Double Kick","Earth Power","15.484","315.4","32.9","2567"
"Zamazenta - Hero of Many Battles","Metal Claw","Close Combat","13.425","484.1","32.9","3829"
"Shadow Magneton","Thunder Shock","Discharge","16.403","265.3","32.89","2485"
"Mega Beedrill","Infestation","Drill Run","15.526","312.6","32.89","3383"
"Mega Charizard X","Air Slash","Fire Blast","13.852","440.5","32.89","3850"
"Metagross","Bullet Punch","Flash Cannon","13.563","468.9","32.89","3791"
"Crawdaunt","Waterfall","Crabhammer","15.736","300","32.88","2474"
"Shadow Electivire","Low Kick","Thunder Punch","15.514","313","32.88","3079"
"Delphox","Fire Spin","Flamethrower","14.324","397.5","32.88","3059"
"Shadow Articuno","Frost Breath","Blizzard","13.798","444.6","32.88","3051"
"Magmortar","Fire Spin","Fire Blast","14.636","372.3","32.87","3132"
"Salamence","Fire Fang","Fire Blast","14.124","414.3","32.87","3749"
"Rhydon","Mud Slap","Earthquake","13.817","442.3","32.87","3179"
"Drampa","Dragon Breath","Fly","14.697","367","32.85","2914"
"Mega Kangaskhan","Mud Slap","Stomp","13.167","509.9","32.85","3850"
"Mega Manectric","Charge Beam","Overheat","14.661","369.1","32.84","3580"
"Charizard","Fire Spin","Overheat","14.511","380.5","32.84","2889"
"Zamazenta - Crowned Shield","Snarl","Iron Head","12.849","548.2","32.84","3809"
"Shadow Moltres","Fire Spin","Ancient Power","14.656","368.8","32.83","3465"
"Delphox","Zen Headbutt","Mystical Fire","14.303","396.9","32.83","3059"
"Urshifu (Single Strike Style)","Rock Smash","Payback","13.806","441.5","32.83","3606"
"Shadow Donphan","Counter","Play Rough","14.579","374.3","32.82","3013"
"Shadow Meganium","Razor Leaf","Frenzy Plant","14.566","374.7","32.8","2410"
"Shadow Slowbro","Confusion","Psychic","14.519","378.2","32.8","2545"
"Shadow Slowking","Confusion","Psychic","14.519","378.2","32.8","2545"
"Exeggutor","Zen Headbutt","Solar Beam","14.487","380.9","32.8","3014"
"Salamence","Bite","Hydro Pump","14.095","413.5","32.8","3749"
"Shadow Skuntank","Bite","Sludge Bomb","15.348","319.7","32.79","2358"
"Blaziken","Fire Spin","Brave Bird","15.108","335.3","32.79","2848"
"Shadow Magnezone","Spark","Flash Cannon","14.848","353.3","32.79","3205"
"Shadow Scyther","Fury Cutter","X-Scissor","15.499","310.1","32.78","2706"
"Blaziken","Counter","Return","15.103","335.2","32.78","2848"
"Tyrantrum","Charm","Meteor Beam","14.037","417.4","32.78","3128"
"Mew","Shadow Claw","Psychic","13.247","496.4","32.78","3265"
"Deoxys (Normal Forme)","Charge Beam","Thunderbolt","17.029","233.5","32.77","3160"
"Shadow Vileplume","Razor Leaf","Solar Beam","15.376","317.2","32.77","2559"
"Mega Glalie","Ice Shard","Shadow Ball","14.506","377.7","32.77","3229"
"Heracross","Counter","Close Combat","14.298","394.6","32.77","3101"
"Shadow Magneton","Thunder Shock","Magnet Bomb","16.337","264.2","32.76","2485"
"Hatterene","Confusion","Dazzling Gleam","15.057","337.6","32.76","2829"
"Machamp","Counter","Close Combat","14.398","386","32.76","3056"
"Haxorus","Dragon Tail","Night Slash","14.546","373.8","32.75","3593"
"Alolan Exeggutor","Dragon Tail","Seed Bomb","14.374","387.1","32.75","3014"
"Centiskorch","Bug Bite","Bug Buzz","14.135","407.3","32.75","2990"
"Pheromosa","Low Kick","Close Combat","17.201","225.6","32.74","2842"
"Arcanine","Fire Fang","Return","14.248","397.3","32.74","3029"
"Shadow Houndoom","Snarl","Crunch","15.883","286.3","32.73","2635"
"Genesect","Metal Claw","Hyper Beam","14.218","399.1","32.73","3353"
"Genesect - Burn Drive","Metal Claw","Hyper Beam","14.218","399.1","32.73","3353"
"Genesect - Chill Drive","Metal Claw","Hyper Beam","14.218","399.1","32.73","3353"
"Genesect - Douse Drive","Metal Claw","Hyper Beam","14.218","399.1","32.73","3353"
"Genesect - Shock Drive","Metal Claw","Hyper Beam","14.218","399.1","32.73","3353"
"Shadow Hippowdon","Bite","Earthquake","13.956","422.3","32.73","3085"
"Alolan Golem","Volt Switch","Wild Charge","13.95","422.7","32.73","2949"
"Shadow Magneton","Spark","Discharge","16.314","263.9","32.72","2485"
"Excadrill","Mud Slap","Rock Slide","14.53","373.2","32.71","3244"
"Shadow Magmortar","Fire Spin","Brick Break","15.239","323","32.7","3132"
"Infernape","Rock Smash","Blast Burn","14.961","341.3","32.7","2683"
"Flareon","Fire Spin","Return","14.781","354.2","32.7","3029"
"Tapu Bulu","Rock Smash","Dazzling Gleam","13.99","417.6","32.7","3419"
"Grimmsnarl","Bite","Foul Play","14.666","362.1","32.69","2850"
"Shadow Golem","Mud Slap","Rock Blast","14.584","368.3","32.69","2949"
"Shadow Aggron","Dragon Tail","Heavy Slam","14.038","412.9","32.69","3000"
"Bewear","Tackle","Superpower","13.994","416.6","32.69","3117"
"Shadow Ho-Oh","Hidden Power (Fighting)","Earthquake","13.507","463.3","32.69","3863"
"Shadow Ho-Oh","Hidden Power (Water)","Earthquake","13.507","463.3","32.69","3863"
"Shadow Ho-Oh","Hidden Power (Grass)","Earthquake","13.507","463.3","32.69","3863"
"Shadow Ho-Oh","Hidden Power (Poison)","Earthquake","13.507","463.3","32.69","3863"
"Shadow Ho-Oh","Hidden Power (Electric)","Earthquake","13.507","463.3","32.69","3863"
